ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
mmu04550	Signaling pathways regulating pluripotency of stem cells	11/327	141/11972	0.0780141843971631	2.85622573578849	3.71534342921719	0.00166802767054038	0.0338737926940509	0.0290385383940229	ENSMUSG00000041075(Fzd7)/ENSMUSG00000067336(Bmpr2)/ENSMUSG00000042745(Id1)/ENSMUSG00000026739(Bmi1)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000007872(Id3)/ENSMUSG00000036856(Wnt4)/ENSMUSG00000031540(Kat6a)/ENSMUSG00000021796(Bmpr1a)/ENSMUSG00000034394(Lif)/ENSMUSG00000022346(Myc)	11
mmu05226	Gastric cancer	11/327	141/11972	0.0780141843971631	2.85622573578849	3.71534342921719	0.00166802767054038	0.0338737926940509	0.0290385383940229	ENSMUSG00000041075(Fzd7)/ENSMUSG00000027208(Fgf7)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036856(Wnt4)/ENSMUSG00000030201(Lrp6)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000022346(Myc)/ENSMUSG00000024241(Sos1)	11
mmu05418	Fluid shear stress and atherosclerosis	13/327	189/11972	0.0687830687830688	2.51825963140948	3.52548079645631	0.00205971249156941	0.0388402926981661	0.0332961041870244	ENSMUSG00000026688(Mgst3)/ENSMUSG00000067336(Bmpr2)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000008540(Mgst1)/ENSMUSG00000030557(Mef2a)/ENSMUSG00000005413(Hmox1)/ENSMUSG00000006519(Cyba)/ENSMUSG00000021796(Bmpr1a)/ENSMUSG00000021250(Fos)/ENSMUSG00000050697(Prkaa1)/ENSMUSG00000023944(Hsp90ab1)/ENSMUSG00000023951(Vegfa)	13
mmu04140	Autophagy - animal	15/327	247/11972	0.0607287449392713	2.22337778107937	3.25553212192559	0.00325142484433307	0.0549955418482875	0.0471453010262433	ENSMUSG00000026384(Ptpn4)/ENSMUSG00000026280(Atg4b)/ENSMUSG00000027291(Vps39)/ENSMUSG00000080895(Gm11645)/ENSMUSG00000059461(Gm7331)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000008348(Ubc)/ENSMUSG00000061390(Uba52-ps)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000050244(Heatr1)/ENSMUSG00000096722(Hmgb1-ps9)/ENSMUSG00000050697(Prkaa1)/ENSMUSG00000037204(Atg101)/ENSMUSG00000024073(Birc6)/ENSMUSG00000024122(Pdpk1)	15
mmu04928	Parathyroid hormone synthesis, secretion and action	9/327	111/11972	0.0810810810810811	2.96850979419787	3.49146555339548	0.00333306314232046	0.0549955418482875	0.0471453010262433	ENSMUSG00000039943(Plcb4)/ENSMUSG00000030201(Lrp6)/ENSMUSG00000030557(Mef2a)/ENSMUSG00000066406(Akap13)/ENSMUSG00000071076(Jund)/ENSMUSG00000020733(Nherf1)/ENSMUSG00000021250(Fos)/ENSMUSG00000042406(Atf4)/ENSMUSG00000038418(Egr1)	9
mmu04068	FoxO signaling pathway	11/327	157/11972	0.0700636942675159	2.56514540602661	3.30793524485515	0.00386352979178531	0.0599983450018425	0.051433987940176	ENSMUSG00000037111(Setd7)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000028680(Plk3)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000018566(Slc2a4)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000020950(Foxg1)/ENSMUSG00000050697(Prkaa1)/ENSMUSG00000024241(Sos1)/ENSMUSG00000024122(Pdpk1)	11
mmu04137	Mitophagy - animal	10/327	138/11972	0.072463768115942	2.65301599964544	3.27280525019957	0.0045504196322083	0.0667394879390551	0.0572128784166541	ENSMUSG00000031333(Abcb7)/ENSMUSG00000025261(Huwe1)/ENSMUSG00000059461(Gm7331)/ENSMUSG00000052684(Jun)/ENSMUSG00000008348(Ubc)/ENSMUSG00000020124(Usp15)/ENSMUSG00000061390(Uba52-ps)/ENSMUSG00000050244(Heatr1)/ENSMUSG00000042406(Atf4)/ENSMUSG00000022752(Tomm70a)	10
mmu04110	Cell cycle	12/327	185/11972	0.0648648648648649	2.37480783535829	3.15787959014366	0.00484767061681261	0.0673571075178173	0.0577423369869646	ENSMUSG00000014355(Anapc1)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000041408(Wapl)/ENSMUSG00000032409(Atr)/ENSMUSG00000020687(Cdc27)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000022346(Myc)/ENSMUSG00000022141(Nipbl)/ENSMUSG00000022673(Mcm4)/ENSMUSG00000024293(Esco1)/ENSMUSG00000024974(Smc3)	12
mmu04510	Focal adhesion	13/327	216/11972	0.0601851851851852	2.20347717748329	2.99091651621546	0.00641590755101118	0.0833073967470589	0.0714158305447275	ENSMUSG00000026479(Lamc2)/ENSMUSG00000025860(Xiap)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000006599(Gtf2h1)/ENSMUSG00000058230(Arhgap35)/ENSMUSG00000025278(Flnb)/ENSMUSG00000052698(Tln2)/ENSMUSG00000035133(Arhgap5)/ENSMUSG00000020580(Rock2)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000024241(Sos1)/ENSMUSG00000024122(Pdpk1)	13
mmu04350	TGF-beta signaling pathway	9/327	124/11972	0.0725806451612903	2.65729505770938	3.10854744547681	0.00688720367394965	0.0833073967470589	0.0714158305447275	ENSMUSG00000067336(Bmpr2)/ENSMUSG00000042745(Id1)/ENSMUSG00000007872(Id3)/ENSMUSG00000021796(Bmpr1a)/ENSMUSG00000042557(Sin3a)/ENSMUSG00000018501(Ncor1)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000022346(Myc)/ENSMUSG00000024232(Bambi)	9
mmu05207	Chemical carcinogenesis - receptor activation	14/327	243/11972	0.0576131687242798	2.10931148613785	2.92749052939324	0.00694228306225491	0.0833073967470589	0.0714158305447275	ENSMUSG00000026688(Mgst3)/ENSMUSG00000027208(Fgf7)/ENSMUSG00000025860(Xiap)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000037348(Paqr7)/ENSMUSG00000008540(Mgst1)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000021250(Fos)/ENSMUSG00000022346(Myc)/ENSMUSG00000042406(Atf4)/ENSMUSG00000023944(Hsp90ab1)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000024241(Sos1)	14
mmu05417	Lipid and atherosclerosis	14/327	245/11972	0.0571428571428571	2.09209261686326	2.8941324048345	0.00744172145137344	0.083874142784983	0.071901677427318	ENSMUSG00000039943(Plcb4)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000006599(Gtf2h1)/ENSMUSG00000003184(Irf3)/ENSMUSG00000025408(Ddit3)/ENSMUSG00000015755(Tab2)/ENSMUSG00000006519(Cyba)/ENSMUSG00000021250(Fos)/ENSMUSG00000020580(Rock2)/ENSMUSG00000042406(Atf4)/ENSMUSG00000023944(Hsp90ab1)/ENSMUSG00000090877(Hspa1b)/ENSMUSG00000024122(Pdpk1)	14
mmu04668	TNF signaling pathway	9/327	126/11972	0.0714285714285714	2.61511577107907	3.05402376070107	0.00762492207136209	0.083874142784983	0.071901677427318	ENSMUSG00000056501(Cebpb)/ENSMUSG00000025860(Xiap)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000015755(Tab2)/ENSMUSG00000052837(Junb)/ENSMUSG00000034394(Lif)/ENSMUSG00000021250(Fos)/ENSMUSG00000042406(Atf4)	9
mmu04931	Insulin resistance	8/327	106/11972	0.0754716981132075	2.76314119208355	3.05532348178153	0.00845016084651302	0.0859924536764879	0.0737176137976272	ENSMUSG00000034160(Ogt)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000029992(Gfpt1)/ENSMUSG00000060601(Nr1h2)/ENSMUSG00000018566(Slc2a4)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000050697(Prkaa1)/ENSMUSG00000024122(Pdpk1)	8
mmu05211	Renal cell carcinoma	6/327	65/11972	0.0923076923076923	3.37953422724065	3.22341930732727	0.00846895377116926	0.0859924536764879	0.0737176137976272	ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000006599(Gtf2h1)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000024241(Sos1)/ENSMUSG00000055839(Elob)	6
mmu05200	Pathways in cancer	26/327	580/11972	0.0448275862068966	1.64121058736687	2.65267496406411	0.00899547742635341	0.0879557792799	0.0754006879791806	ENSMUSG00000026479(Lamc2)/ENSMUSG00000026688(Mgst3)/ENSMUSG00000041075(Fzd7)/ENSMUSG00000039943(Plcb4)/ENSMUSG00000027208(Fgf7)/ENSMUSG00000025860(Xiap)/ENSMUSG00000068523(Gng5)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036856(Wnt4)/ENSMUSG00000052684(Jun)/ENSMUSG00000030201(Lrp6)/ENSMUSG00000008540(Mgst1)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000005413(Hmox1)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000021250(Fos)/ENSMUSG00000020647(Ncoa1)/ENSMUSG00000020580(Rock2)/ENSMUSG00000022346(Myc)/ENSMUSG00000022528(Hes1)/ENSMUSG00000023944(Hsp90ab1)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000024241(Sos1)/ENSMUSG00000055839(Elob)	26
mmu05216	Thyroid cancer	4/327	33/11972	0.121212121212121	4.43777221758873	3.31374767965702	0.0119742169379518	0.107831735053258	0.0924394857912698	ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000022346(Myc)	4
mmu05212	Pancreatic cancer	6/327	70/11972	0.0857142857142857	3.13813892529489	3.0063830371644	0.0120097658943694	0.107831735053258	0.0924394857912698	ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000023951(Vegfa)	6
mmu04210	Apoptosis	11/327	184/11972	0.0597826086956522	2.18873819970749	2.72297975263156	0.012253606256052	0.107831735053258	0.0924394857912698	ENSMUSG00000025860(Xiap)/ENSMUSG00000038612(Mcl1)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000025408(Ddit3)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000021250(Fos)/ENSMUSG00000042406(Atf4)/ENSMUSG00000024122(Pdpk1)	11
mmu04926	Relaxin signaling pathway	8/327	115/11972	0.0695652173913043	2.54689535965962	2.79313413395422	0.013446121716767	0.112868533462156	0.0967573153682761	ENSMUSG00000039943(Plcb4)/ENSMUSG00000068523(Gng5)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000021250(Fos)/ENSMUSG00000042406(Atf4)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000024241(Sos1)	8
mmu05223	Non-small cell lung cancer	6/327	72/11972	0.0833333333333333	3.05096839959225	2.92496774867079	0.0136810343590493	0.112868533462156	0.0967573153682761	ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000024241(Sos1)/ENSMUSG00000024122(Pdpk1)	6
