id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
GO:0006606	BP	0	823	7	1.554575681466782	5	2	0.00850546780072904
GO:0006886	BP	0	823	12	1.553276046137099	8	4	0.014580801944106925
GO:0006888	BP	0	823	10	1.3909351071033795	3	7	0.012150668286755772
GO:0007010	BP	0	823	12	1.5583084834648853	10	2	0.014580801944106925
GO:0007032	BP	0	823	5	1.3138672203691537	2	3	0.006075334143377886
GO:0007095	BP	0	823	4	1.389166084364533	2	2	0.004860267314702308
GO:0007173	BP	0	823	4	1.3117538610557538	3	1	0.004860267314702308
GO:0007179	BP	0	823	6	1.4036923375611292	4	2	0.007290400972053463
GO:0007264	BP	0	823	8	1.451018452155457	3	5	0.009720534629404616
GO:0007266	BP	0	823	5	1.4216039268698308	5	0	0.006075334143377886
GO:0007519	BP	0	823	6	1.4177484020255906	5	1	0.007290400972053463
GO:0008233	MF	0	823	9	1.4722687519252506	3	6	0.010935601458080195
GO:0008543	BP	0	823	5	1.346352974450639	3	2	0.006075334143377886
GO:0009952	BP	0	823	11	1.3315193178118818	7	4	0.013365735115431349
GO:0010508	BP	0	823	5	1.4653828514484177	3	2	0.006075334143377886
GO:0010761	BP	0	823	3	1.3222192947339193	2	1	0.0036452004860267314
GO:0010811	BP	0	823	3	1.3222192947339193	1	2	0.0036452004860267314
GO:0010976	BP	0	823	13	1.5609177884309753	7	6	0.015795868772782502
GO:0014704	CC	0	823	5	1.4345689040341991	3	2	0.006075334143377886
GO:0015935	CC	0	823	11	1.5161145167474332	0	11	0.013365735115431349
GO:0016192	BP	0	823	8	1.5938396610812717	5	3	0.009720534629404616
GO:0016459	CC	0	823	5	1.488550716500444	3	2	0.006075334143377886
GO:0016514	CC	0	823	4	1.3756636139608858	4	0	0.004860267314702308
GO:0016579	BP	0	823	4	1.3756636139608858	4	0	0.004860267314702308
GO:0017018	MF	0	823	6	1.3117538610557538	1	5	0.007290400972053463
GO:0017157	BP	0	823	7	1.491361693834273	5	2	0.00850546780072904
GO:0019838	MF	0	823	5	1.4116197059632305	0	5	0.006075334143377886
GO:0019903	MF	0	823	9	1.525764433517825	6	3	0.010935601458080195
GO:0019941	BP	0	823	3	1.3222192947339193	0	3	0.0036452004860267314
GO:0030041	BP	0	823	3	1.3222192947339193	1	2	0.0036452004860267314
GO:0030139	CC	0	823	6	1.4819201376014308	5	1	0.007290400972053463
GO:0030163	BP	0	823	8	1.4452148760562171	3	5	0.009720534629404616
GO:0030218	BP	0	823	7	1.3644169745283738	1	6	0.00850546780072904
GO:0030900	BP	0	823	6	1.467361417430506	6	0	0.007290400972053463
GO:0031032	BP	0	823	4	1.4232458739368075	3	1	0.004860267314702308
GO:0031122	BP	0	823	6	1.4497354542300294	3	3	0.007290400972053463
GO:0031334	BP	0	823	6	1.325652470572313	3	3	0.007290400972053463
GO:0031490	MF	0	823	9	1.4259687322722812	5	4	0.010935601458080195
GO:0031507	BP	0	823	5	1.3944516808262162	4	1	0.006075334143377886
GO:0031594	CC	0	823	11	1.5161145167474332	5	6	0.013365735115431349
GO:0032435	BP	0	823	5	1.3692158574101432	4	1	0.006075334143377886
GO:0032469	BP	0	823	3	1.3222192947339193	1	2	0.0036452004860267314
GO:0032868	BP	0	823	9	1.5481846105451083	4	5	0.010935601458080195
GO:0032869	BP	0	823	10	1.3598354823398875	6	4	0.012150668286755772
GO:0032922	BP	0	823	9	1.3741370939994124	5	4	0.010935601458080195
GO:0035091	MF	0	823	8	1.5102097770893081	6	2	0.009720534629404616
GO:0035196	BP	0	823	3	1.3290587192642247	3	0	0.0036452004860267314
GO:0035198	MF	0	823	6	1.4445652207639403	5	1	0.007290400972053463
GO:0035914	BP	0	823	5	1.3138672203691537	0	5	0.006075334143377886
GO:0042169	MF	0	823	5	1.3138672203691537	2	3	0.006075334143377886
GO:0042552	BP	0	823	5	1.48000694295715	4	1	0.006075334143377886
GO:0042632	BP	0	823	7	1.5458370670891228	3	4	0.00850546780072904
GO:0042752	BP	0	823	6	1.5207018260260634	3	3	0.007290400972053463
GO:0042995	CC	0	823	13	1.5411950825045446	8	5	0.015795868772782502
GO:0043425	MF	0	823	3	1.3357921019231926	0	3	0.0036452004860267314
GO:0043491	BP	0	823	6	1.4471580313422194	3	3	0.007290400972053463
GO:0043539	MF	0	823	6	1.315270434778592	3	3	0.007290400972053463
GO:0045471	BP	0	823	13	1.547869333230424	2	11	0.015795868772782502
GO:0045597	BP	0	823	4	1.4273237863572468	3	1	0.004860267314702308
GO:0045663	BP	0	823	6	1.3391200452721201	5	1	0.007290400972053463
GO:0045727	BP	0	823	9	1.5185139398778875	6	3	0.010935601458080195
GO:0045766	BP	0	823	8	1.5854607295085001	4	4	0.009720534629404616
GO:0045995	BP	0	823	5	1.4941545940184435	3	2	0.006075334143377886
GO:0048027	MF	0	823	7	1.4404592689935165	1	6	0.00850546780072904
GO:0048041	BP	0	823	4	1.317018101048111	3	1	0.004860267314702308
GO:0048511	BP	0	823	8	1.377943380255784	6	2	0.009720534629404616
GO:0048786	CC	0	823	10	1.472756449317212	6	4	0.012150668286755772
GO:0048870	BP	0	823	5	1.4623979978989556	4	1	0.006075334143377886
GO:0050750	MF	0	823	4	1.4191293077419758	2	2	0.004860267314702308
GO:0050808	BP	0	823	9	1.5603052432209614	8	1	0.010935601458080195
GO:0051016	BP	0	823	3	1.3082085802911043	1	2	0.0036452004860267314
GO:0051019	MF	0	823	3	1.3290587192642247	1	2	0.0036452004860267314
GO:0051168	BP	0	823	4	1.4313637641589878	3	1	0.004860267314702308
GO:0051591	BP	0	823	4	1.384711742938282	1	3	0.004860267314702308
GO:0051893	BP	0	823	5	1.4996870826184034	3	2	0.006075334143377886
GO:0051898	BP	0	823	6	1.3832167518513312	1	5	0.007290400972053463
GO:0061351	BP	0	823	4	1.337459261290656	3	1	0.004860267314702308
GO:0061629	MF	0	823	9	1.5835765856339497	6	3	0.010935601458080195
GO:0070161	CC	0	823	6	1.4393326938302624	3	3	0.007290400972053463
GO:0070373	BP	0	823	5	1.4996870826184034	0	5	0.006075334143377886
GO:0070936	BP	0	823	6	1.5096504795465824	4	2	0.007290400972053463
GO:0071310	BP	0	823	4	1.4022613824546803	2	2	0.004860267314702308
GO:0071353	BP	0	823	7	1.5563025007672868	0	7	0.00850546780072904
GO:0071356	BP	0	823	8	1.5393897820725047	2	6	0.009720534629404616
GO:0071363	BP	0	823	5	1.4149733479708175	2	3	0.006075334143377886
GO:0071364	BP	0	823	5	1.4742162640762548	3	2	0.006075334143377886
GO:0071456	BP	0	823	8	1.5440680443502752	1	7	0.009720534629404616
GO:0072686	CC	0	823	13	1.4471580313422194	10	3	0.015795868772782502
GO:0097091	BP	0	823	6	1.498310553789601	4	2	0.007290400972053463
GO:0097421	BP	0	823	13	1.3674992761954683	2	11	0.015795868772782502
GO:0097470	CC	0	823	6	1.5293447875295696	4	2	0.007290400972053463
GO:0140658	MF	0	823	6	1.486666572625893	6	0	0.007290400972053463
GO:1901798	BP	0	823	3	1.3290587192642247	1	2	0.0036452004860267314
GO:1903078	BP	0	823	5	1.4712917110589383	2	3	0.006075334143377886
GO:1904263	BP	0	823	6	1.4036923375611292	4	2	0.007290400972053463
GO:1990403	BP	0	823	4	1.3935752032695876	1	3	0.004860267314702308
GO:2000779	BP	0	823	7	1.4404592689935165	5	2	0.00850546780072904
GO:2000781	BP	0	823	6	1.361727836017593	6	0	0.007290400972053463
