ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Classification
GO:0007264	small GTPase-mediated signal transduction	8/823	226/65628	0.0353982300884956	2.82274002946268	3.0932881102276	0.0081386522367962	0.175779248467574	0.160132027496742	ENSMUSG00000029405(G3bp2)/ENSMUSG00000005413(Hmox1)/ENSMUSG00000061390(Uba52-ps)/ENSMUSG00000021188(Trip11)/ENSMUSG00000054855(Rnd1)/ENSMUSG00000022769(Sdf2l1)/ENSMUSG00000024241(Sos1)/ENSMUSG00000041845(Rhod)	8	biological_process
GO:0007265	Ras protein signal transduction	3/823	147/65628	0.0204081632653061	1.6273960373943	0.858182636445728	0.280714365838346	0.493289518088581	0.44937870290751	ENSMUSG00000062232(Rapgef2)/ENSMUSG00000022525(Plaat1)/ENSMUSG00000024241(Sos1)	3	biological_process
GO:0007266	Rho protein signal transduction	5/823	132/65628	0.0378787878787879	3.0205456754667	2.61869660580058	0.0258410948375442	0.292992413525685	0.266911308519371	ENSMUSG00000058230(Arhgap35)/ENSMUSG00000004677(Myo9b)/ENSMUSG00000059495(Arhgef12)/ENSMUSG00000114152(Gm5374)/ENSMUSG00000035133(Arhgap5)	5	biological_process
GO:0007268	chemical synaptic transmission	2/823	311/65628	0.00643086816720257	0.51281289924322	-0.97050951319982	0.902796048161984	0.922539102893161	0.840418071411648	ENSMUSG00000046447(Camk2n1)/ENSMUSG00000092116(Sec61bl)	2	biological_process
GO:0007269	neurotransmitter secretion	1/823	74/65628	0.0135135135135135	1.07760007881515	0.0752688637249718	0.607170217584618	0.697397747125125	0.635317969512239	ENSMUSG00000056708(Ier5)	1	biological_process
GO:0007281	germ cell development	1/823	90/65628	0.0111111111111111	0.886026731470231	-0.121931130917481	0.679074512853358	0.754146848267827	0.687015474785593	ENSMUSG00000020516(Rps6kb1)	1	biological_process
GO:0007289	spermatid nucleus differentiation	2/823	55/65628	0.0363636363636364	2.89972384844803	1.58835007868637	0.15150652695519	0.468540312922619	0.426832580787245	ENSMUSG00000030059(Tmf1)/ENSMUSG00000054364(Rhob)	2	biological_process
GO:0007338	single fertilization	2/823	188/65628	0.0106382978723404	0.848323466301285	-0.234699741046328	0.684553906840936	0.757504215535503	0.690073981590641	ENSMUSG00000028053(Ash1l)/ENSMUSG00000030605(Mfge8)	2	biological_process
GO:0007339	binding of sperm to zona pellucida	2/823	118/65628	0.0169491525423729	1.35156620054781	0.430755920682957	0.436541275412101	0.584428310264527	0.532404655640666	ENSMUSG00000007739(Cct4)/ENSMUSG00000090877(Hspa1b)	2	biological_process
GO:0007346	regulation of mitotic cell cycle	4/823	116/65628	0.0344827586206897	2.74973813214899	2.1255853988806	0.0587508585375837	0.39233712259372	0.357412717660809	ENSMUSG00000030536(Iqgap1)/ENSMUSG00000034290(Nek9)/ENSMUSG00000020950(Foxg1)/ENSMUSG00000035828(Pim3)	4	biological_process
GO:0007369	gastrulation	4/823	190/65628	0.0210526315789474	1.67878749120675	1.05592375024865	0.216655788535317	0.4769325926345	0.434477810683828	ENSMUSG00000004364(Cul3)/ENSMUSG00000081406(Rps6-ps4)/ENSMUSG00000007880(Arid1a)/ENSMUSG00000020372(Rack1)	4	biological_process
GO:0007405	neuroblast proliferation	5/823	68/65628	0.0735294117647059	5.863412193553	4.52181717706248	0.00166475205554556	0.0987326026788942	0.089943790207512	ENSMUSG00000020423(Btg2)/ENSMUSG00000038119(Cdon)/ENSMUSG00000020950(Foxg1)/ENSMUSG00000033031(Cip2a)/ENSMUSG00000037815(Ctnna1)	5	biological_process
GO:0007409	axonogenesis	5/823	376/65628	0.0132978723404255	1.06040433287661	0.132373800251175	0.509403330364283	0.628903070794014	0.572920436872559	ENSMUSG00000026131(Dst)/ENSMUSG00000109658(Gm45660)/ENSMUSG00000052727(Map1b)/ENSMUSG00000034158(Lrrc58)/ENSMUSG00000059714(Flot1)	5	biological_process
GO:0007411	axon guidance	5/823	460/65628	0.0108695652173913	0.866765280786095	-0.323158859346278	0.685277348440916	0.758032762766064	0.690555479494377	ENSMUSG00000028039(Efna3)/ENSMUSG00000029207(Apbb2)/ENSMUSG00000058230(Arhgap35)/ENSMUSG00000022263(Trio)/ENSMUSG00000094649(Mplkipl1)	5	biological_process
GO:0007413	axonal fasciculation	1/823	68/65628	0.0147058823529412	1.1726824387106	0.16055361677419	0.576236135301309	0.680104187244255	0.619563818607044	ENSMUSG00000058230(Arhgap35)	1	biological_process
GO:0007416	synapse assembly	1/823	179/65628	0.00558659217877095	0.445488300739222	-0.837187349754058	0.895859044114824	0.916665325829502	0.835067156337955	ENSMUSG00000052727(Map1b)	1	biological_process
GO:0007417	central nervous system development	6/823	226/65628	0.0265486725663717	2.11705502209701	1.89570260293307	0.0665686458467536	0.41897490569671	0.381679303469356	ENSMUSG00000007872(Id3)/ENSMUSG00000056737(Capg)/ENSMUSG00000030894(Tpp1)/ENSMUSG00000020315(Sptbn1)/ENSMUSG00000021614(Vcan)/ENSMUSG00000114184(Gm7143)	6	biological_process
GO:0007492	endoderm development	4/823	62/65628	0.0645161290322581	5.1446713440207	3.67945532788562	0.00770811466470194	0.175779248467574	0.160132027496742	ENSMUSG00000055204(Ankrd17)/ENSMUSG00000052707(Tnrc6a)/ENSMUSG00000025571(Tnrc6c)/ENSMUSG00000022602(Arc)	4	biological_process
GO:0007512	adult heart development	3/823	230/65628	0.0130434782608696	1.04011833694331	0.0686849429989528	0.552048282401795	0.660914946788484	0.602082733626345	ENSMUSG00000056501(Cebpb)/ENSMUSG00000038037(Socs1)/ENSMUSG00000095098(Ccdc85b)	3	biological_process
GO:0007517	muscle organ development	3/823	147/65628	0.0204081632653061	1.6273960373943	0.858182636445728	0.280714365838346	0.493289518088581	0.44937870290751	ENSMUSG00000007872(Id3)/ENSMUSG00000038872(Zfhx3)/ENSMUSG00000040524(Zfp609)	3	biological_process
GO:0007519	skeletal muscle tissue development	6/823	157/65628	0.0382165605095541	3.04748047766831	2.89455658975157	0.0146911074377846	0.228641708261257	0.208288865912108	ENSMUSG00000027763(Mbnl1)/ENSMUSG00000030551(Nr2f2)/ENSMUSG00000025278(Flnb)/ENSMUSG00000038119(Cdon)/ENSMUSG00000060467(Gm10080)/ENSMUSG00000024236(Svil)	6	biological_process
