id	baseMean	log2FoldChange	pvalue	padj	Direction
ENSMUSG00000039239(Tgfb2)	52.6791306362392	0.288594427813091	0.49762102652618	0.687267086121311	No
ENSMUSG00000001305(Rrp15)	12.9797940747494	0.51467487507777	0.53335304828672	NA	No
ENSMUSG00000097935(Gm3809)	0.500934411983699	-2.69297467807815	0.553154603701875	NA	No
ENSMUSG00000026259(Ngef)	1.33978563999254	-2.41830162127063	0.373249011301353	NA	No
ENSMUSG00000026035(Ppil3)	13.7243769343258	1.58236429204805	0.0605508854688739	NA	No
ENSMUSG00000040423(Rc3h1)	16.4033435165125	0.800982966940013	0.348632679595116	0.556001208497145	No
ENSMUSG00000026036(Nif3l1)	3.37693838113837	1.18682784636248	0.491123633980651	NA	No
ENSMUSG00000038174(Hycc2)	1.45366843642398	3.81422202210522	0.1703007649889	NA	No
ENSMUSG00000026032(Ndufb3)	5.60124622969122	-0.96894718000724	0.445283295214497	NA	No
ENSMUSG00000059647(Cbx3-ps7)	4.34143230375833	2.18116530098914	0.171971289120418	NA	No
ENSMUSG00000026028(Trak2)	1.29357724779494	1.92955287599456	0.482450305221174	NA	No
ENSMUSG00000070960(Gm19680)	7.50099637804626	-0.3698410453662	0.741911869867683	NA	No
ENSMUSG00000026425(Srgap2)	27.6480975772468	0.174688822945077	0.759701061484659	0.864952360863858	No
ENSMUSG00000095841(Gm8532)	0.427272449871758	2.04347488845133	0.64426145040443	NA	No
ENSMUSG00000100481(Gm7114)	3.63827984501275	-0.501988218260929	0.751830525515393	NA	No
ENSMUSG00000100590(Gm4785)	1.71745333575782	-0.740281116320324	0.734205332757944	NA	No
ENSMUSG00000026709(Dars2)	0.455746403302295	-0.369808278340075	0.933380741856639	NA	No
ENSMUSG00000026134(Prim2)	0.66102560061274	0.596234934613863	0.874448039633371	NA	No
ENSMUSG00000026605(Cenpf)	1.48709654692572	3.84365751634783	0.15436912506142	NA	No
ENSMUSG00000026027(Stradb)	5.76038449187083	-1.46474417675844	0.308628113794454	NA	No
ENSMUSG00000026604(Ptpn14)	13.8623169387627	1.99491674071173	0.0196450272877163	NA	Up
