Species	Au_1	Au_2	Au_3	Au_4	Au_5	Au_6	HC_De_1	HC_De_2	HC_De_3	HC_Sp_1	HC_Sp_2	HC_Sp_3	HLB_De_1	HLB_De_2	HLB_De_3	HLB_Sp_1	HLB_Sp_2	HLB_Sp_3	sus_HLB_1	sus_HLB_2	sus_HLB_3	sus_HLB_4	sus_HLB_5	sus_HLB_6
Burkholderia pseudomallei	38.591	32	4.631	1	26.27	19.495	12.684	15.571	19	13.524	4	15	20	9	13.136	11.824	18	26.455	0	1	0	3	2	4
Burkholderia pseudomallei	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia pseudomallei	6	22	3	5	4	14	6.259	11	13	1	3	4	5	7	14	21.445	7	9	0	0	0	0	0	0
Burkholderia pseudomallei	24.209	33.684	0	13.202	12.869	34.28	11.236	11	20.034	22.778	6.519	56.305	39.467	1.235	17.146	27.246	18.83	17.861	0	0	0	2.362	0	0
Burkholderia pseudomallei	2	0	0	0	1	3	2	4	1	3	2	0	2	1	0	22	1	3	1	1	0	3	2	2
Burkholderia pseudomallei	0	1.504	2.916	0	0	0	0	0	2.932	4.915	6.751	4	5.413	1	6	5.266	1.693	4	0.881	0	0	1	0	1
Burkholderia pseudomallei	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	15	2	16	0	0	0	0	0	0
Burkholderia pseudomallei	3	1	2	1	2.638	2	3.962	9	3	1	5.467	0	8.904	2	3	1	1	4	1	2	0	0	0	0
Burkholderia pseudomallei	13	20	1	28	7	11	51	48	112	66	86	118	46	77	75	76	44	34	0	0	0	0	0	0
Alcaligenes sp. O-1	1	3	2	1	1	0	0	2	0	1	1	1	2	3	0	25	3	2	0	2	1	0	0	1
Alcaligenes sp. O-1	2.15	3	2	0	1	0	0	0	1	2	2	0	8.516	14	0	3.509	3	2	2	1	5.278	5	0	3
Nitrosococcus oceani	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pseudomonas fluorescens	0	1.331	4	0	1	2	2	3	0	53.448	5	4	1	4	11	65.684	4.162	140.144	0	0	4	1	0	69
Pseudomonas fluorescens	0	0	1	1	0	0	0	0	0	23.379	1.022	0	0	0	1	9.181	2	23.583	0	0	0	0	0	0
Pseudomonas fluorescens	0	0	0	0	0	0	1	0	0	20	0	1	0	0	1	11	1	17	0	0	0	0	0	0
Pseudomonas fluorescens	0	0	0	0	0	0	0	0	0	9	1	0	0	1	2	10	2	53	0	0	0	0	0	15
Pseudomonas fluorescens	0	2	1	0	0	1	4	0	1	54.309	4.472	3.585	0	5	10.609	30.325	5	90.04	0	0	1	3	0	54
Pseudomonas fluorescens	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	7	0	31	0	0	1	0	0	8
Pseudomonas fluorescens	0	2	1.247	0	1	2	1	2	0	27.011	2	1	2	2	2	30.267	0	103.736	0	0	3.641	0	1	28
Pseudomonas fluorescens	0	0	0	2	0	0	0	3.273	0	32.656	4	4	1	1	1	17	7	77	0	0	3	0	1	17
Pseudomonas fluorescens	3	1	5	2	2	1	2	0	1	36.282	5	4	1	3	2	23	3	106.115	2	1	7	2.5	2	37
Pseudomonas fluorescens	12.294	6	26.474	6.363	12	12.353	12	8	3	57	18	11	13	11	16	62.681	15.361	164	9.357	4	12	20	17	48
