ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0010369	chromocenter	11	0.465939436312329	1.13274168632491	0.315686274509804	0.781957490366089	0.729887625494372	2563	tags=45%, list=24%, signal=35%	ENSMUSG00000059647(Cbx3-ps7)/ENSMUSG00000009575(Cbx5)/ENSMUSG00000029836(Cbx3)/ENSMUSG00000024660(Incenp)/ENSMUSG00000022034(Esco2)
GO:1990948	ubiquitin ligase inhibitor activity	18	-0.390332975388495	-1.12142439296029	0.31340206185567	0.781957490366089	0.729887625494372	1650	tags=56%, list=15%, signal=47%	ENSMUSG00000110164(Gm7351)/ENSMUSG00000061477(Rps7)/ENSMUSG00000058064(Gm10036)/ENSMUSG00000059291(Rpl11)/ENSMUSG00000111966(Gm5781)/ENSMUSG00000107176(Gm9794)/ENSMUSG00000071415(Rpl23)/ENSMUSG00000019773(Fbxo5)/ENSMUSG00000081568(Gm15032)/ENSMUSG00000070343(Gm10288)
GO:0034707	chloride channel complex	16	0.408975394201232	1.11941024541944	0.314779270633397	0.781957490366089	0.729887625494372	1999	tags=31%, list=19%, signal=25%	ENSMUSG00000010803(Gabra1)/ENSMUSG00000017764(Zswim1)/ENSMUSG00000027884(Clcc1)/ENSMUSG00000064210(Ano6)/ENSMUSG00000038280(Ostm1)
GO:0045663	positive regulation of myoblast differentiation	27	0.354071174161918	1.11441745921191	0.315992292870906	0.781957490366089	0.729887625494372	2232	tags=37%, list=21%, signal=29%	ENSMUSG00000038119(Cdon)/ENSMUSG00000022687(Boc)/ENSMUSG00000042323(Pbrm1)/ENSMUSG00000115743(Gm7004)/ENSMUSG00000038872(Zfhx3)/ENSMUSG00000024921(Smarca2)/ENSMUSG00000007880(Arid1a)/ENSMUSG00000026459(Myog)/ENSMUSG00000033237(Arid2)/ENSMUSG00000032481(Smarcc1)
GO:0031334	positive regulation of protein-containing complex assembly	28	0.35141446404805	1.10923293348983	0.315280464216634	0.781957490366089	0.729887625494372	1782	tags=29%, list=17%, signal=24%	ENSMUSG00000034525(Ice1)/ENSMUSG00000040093(Bmf)/ENSMUSG00000070867(Trabd2b)/ENSMUSG00000005362(Crbn)/ENSMUSG00000061175(Fnip2)/ENSMUSG00000021597(Slf1)/ENSMUSG00000036097(Slf2)/ENSMUSG00000022178(Ajuba)
GO:0060326	cell chemotaxis	21	-0.376567926149343	-1.10812575385075	0.315126050420168	0.781957490366089	0.729887625494372	719	tags=19%, list=7%, signal=18%	ENSMUSG00000006445(Epha2)/ENSMUSG00000046546(Fam43a)/ENSMUSG00000024486(Hbegf)/ENSMUSG00000098112(Bin2)
GO:0090307	mitotic spindle assembly	32	0.341910752555529	1.10252712090329	0.31237721021611	0.781957490366089	0.729887625494372	3387	tags=44%, list=31%, signal=30%	ENSMUSG00000043065(Spice1)/ENSMUSG00000024974(Smc3)/ENSMUSG00000025862(Stag2)/ENSMUSG00000021693(Kif2a)/ENSMUSG00000033186(Mzt1)/ENSMUSG00000002546(Golga2)/ENSMUSG00000029521(Chek2)/ENSMUSG00000063632(Sox11)/ENSMUSG00000001440(Kpnb1)/ENSMUSG00000047126(Cltc)/ENSMUSG00000026622(Nek2)/ENSMUSG00000021774(Ube2e1)/ENSMUSG00000030965(Abraxas2)/ENSMUSG00000036158(Prickle1)
GO:0032526	response to retinoic acid	29	-0.339456291610272	-1.09900870680576	0.314285714285714	0.781957490366089	0.729887625494372	3070	tags=48%, list=28%, signal=35%	ENSMUSG00000096472(Cdkn2d)/ENSMUSG00000036850(Mrpl41)/ENSMUSG00000000093(Tbx2)/ENSMUSG00000032806(Slc10a3)/ENSMUSG00000025856(Pdgfa)/ENSMUSG00000015290(Ubl4a)/ENSMUSG00000039656(Rxrb)/ENSMUSG00000105388(Rpl36a-ps2)/ENSMUSG00000026484(Rnf2)/ENSMUSG00000060377(Rpl36a-ps1)/ENSMUSG00000028049(Scamp3)/ENSMUSG00000020538(Srebf1)/ENSMUSG00000081319(Gm12936)/ENSMUSG00000079435(Rpl36a)
GO:0048812	neuron projection morphogenesis	42	-0.309686039401351	-1.08271259793807	0.313524590163934	0.781957490366089	0.729887625494372	1270	tags=19%, list=12%, signal=17%	ENSMUSG00000051390(Zbtb22)/ENSMUSG00000019970(Sgk1)/ENSMUSG00000041120(Nbl1)/ENSMUSG00000039834(Zfp335)/ENSMUSG00000000579(Dynlt1c)/ENSMUSG00000032036(Kirrel3)/ENSMUSG00000129335/ENSMUSG00000094649(Mplkipl1)
GO:0007399	nervous system development	104	-0.259142128146269	-1.07581971920462	0.312785388127854	0.781957490366089	0.729887625494372	1662	tags=20%, list=15%, signal=17%	ENSMUSG00000047554(Tmem41b)/ENSMUSG00000042340(Ctf1)/ENSMUSG00000051243(Islr2)/ENSMUSG00000031217(Efnb1)/ENSMUSG00000030894(Tpp1)/ENSMUSG00000044986(Tst)/ENSMUSG00000002058(Unc119)/ENSMUSG00000042369(Rbm45)/ENSMUSG00000030272(Camk1)/ENSMUSG00000061911(Myt1l)/ENSMUSG00000041120(Nbl1)/ENSMUSG00000026826(Nr4a2)/ENSMUSG00000036078(Sigmar1)/ENSMUSG00000038175(Mylip)/ENSMUSG00000018143(Mafk)/ENSMUSG00000026259(Ngef)/ENSMUSG00000034275(Igsf9b)/ENSMUSG00000043557(Mdga1)/ENSMUSG00000063594(Gng8)/ENSMUSG00000061390(Uba52-ps)/ENSMUSG00000021250(Fos)
GO:0050839	cell adhesion molecule binding	33	-0.322764783890625	-1.07026036182498	0.31404958677686	0.781957490366089	0.729887625494372	601	tags=24%, list=6%, signal=23%	ENSMUSG00000037852(Cpe)/ENSMUSG00000046731(Kctd11)/ENSMUSG00000035493(Tgfbi)/ENSMUSG00000020758(Itgb4)/ENSMUSG00000025497(Cdhr5)/ENSMUSG00000118236(Gm34922)/ENSMUSG00000032036(Kirrel3)/ENSMUSG00000079654(Prrt4)
GO:0050847	progesterone receptor signaling pathway	119	-0.245590385050357	-1.05858633784894	0.314159292035398	0.781957490366089	0.729887625494372	2019	tags=26%, list=19%, signal=21%	ENSMUSG00000028779(Pef1)/ENSMUSG00000020635(Fkbp1b)/ENSMUSG00000033940(Brk1)/ENSMUSG00000034341(Wbp2)/ENSMUSG00000001751(Naglu)/ENSMUSG00000026788(Zbtb43)/ENSMUSG00000084771(A230072E10Rik)/ENSMUSG00000018648(Dusp14)/ENSMUSG00000020180(Snrpd3)/ENSMUSG00000041117(Ccdc8)/ENSMUSG00000029229(Chic2)/ENSMUSG00000008167(Fbxw9)/ENSMUSG00000075585(6330403L08Rik)/ENSMUSG00000046822(Slc39a3)/ENSMUSG00000031429(Psmd10)/ENSMUSG00000028967(Errfi1)/ENSMUSG00000028822(Tmem50a)/ENSMUSG00000081456(Gm7781)/ENSMUSG00000024211(Grm8)/ENSMUSG00000057388(Mrpl18)/ENSMUSG00000120002(Gm57146)/ENSMUSG00000046683(0610025J13Rik)/ENSMUSG00000072494(Ppp1r3e)/ENSMUSG00000130996/ENSMUSG00000129028/ENSMUSG00000061666(Gdpd1)/ENSMUSG00000121072(Gm57388)/ENSMUSG00000097015(Gm26705)/ENSMUSG00000040433(Zbtb38)/ENSMUSG00000074466(Gm15417)/ENSMUSG00000067825(Pex26)
